Name,Link
"Ladders, Platforms, & Scaffolding",https://gtwww.blob.core.windows.net:443/images/categories/0365ae90-4281-11e8-a3fd-adfe16ac117d.png
Pressure Washers,https://gtwww.blob.core.windows.net:443/images/categories/e60cecc0-17e0-11e8-b55a-799037ea18c6.png
Fencing & Barriers,https://gtwww.blob.core.windows.net:443/images/categories/267ab600-18ba-11e8-b55a-799037ea18c6.png
Pest & Animal Control,https://gtwww.blob.core.windows.net:443/images/categories/79ff76f0-2083-11e8-bba4-655a617dd2ac.png
Lawn Care & Landscaping,https://gtwww.blob.core.windows.net:443/images/categories/f52e4fc0-2b93-11e8-a9a0-c1ec41f551b1.png
Snow & Ice Removal,https://gtwww.blob.core.windows.net:443/images/categories/c9b5f5b0-384e-11e8-97a3-5d3c7f90a3d1.png
Forestry & Fire Tools,https://gtwww.blob.core.windows.net:443/images/categories/42ca7690-5c0b-11e7-a1cf-752114dbd240.png
Dock Equipment,https://gtwww.blob.core.windows.net:443/images/categories/4599d690-febe-11e6-91a5-abc1b8a88737.png
Cycles & Accessories,https://gtwww.blob.core.windows.net:443/images/categories/c25d9b30-39d2-11e8-97a3-5d3c7f90a3d1.png
Access Doors & Door Louvers,https://gtwww.blob.core.windows.net:443/images/categories/8577f4d0-38d9-11e8-b238-75c3bd1dc925.png
